+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1885]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[1901]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[1886]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[1885]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1897]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1886]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1682]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1902]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[1902]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1901]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1806]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1898]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[1898]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[1805]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1805]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1882]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[1870]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[1682]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[1917]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[1869]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1881]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1869]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1681]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[1897]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1769]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[1846]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[1845]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[1806]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1846]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[1681]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1870]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1714]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1770]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1713]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1918]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[2037]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[1882]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1597]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1845]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1917]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1837]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[1918]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[2033]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[1838]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[1770]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1887]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[1853]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[1896]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1896]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[1881]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[1887]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[1865]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1853]/D|
|                  usb_clk |                  usb_clk |                                                                              U_reg_pmul/reg_k_reg[1769]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[1686]/D|
|                  usb_clk |                  usb_clk |                                                                             U_reg_pmul/reg_kb_reg[2034]/D|
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
